จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,ภผามาน,"3,983",43.3,"5,216",56.7,"3,345",39.58,"5,107",60.42
,ภเวยีง,"12,183",42.53,"16,461",57.47,"10,300",38.47,"16,477",61.53
,มญจาคีรี,"12,951",45.31,"15,630",54.69,"11,344",41.98,"15,681",58.02
,เมองขอนแกน,"100,060",53.41,"87,299",46.59,"90,252",50.1,"89,882",49.9
,เวยีงเกา,"3,372",42.97,"4,476",57.03,"2,842",39.46,"4,360",60.54
,แวงนอย,"5,524",35.18,"10,176",64.82,"4,661",31.55,"10,113",68.45
,แวงใหญ,"3,834",35.38,"7,002",64.62,"3,324",32.61,"6,869",67.39
,สีชมพ,"10,271",38.48,"16,421",61.52,"8,824",35.71,"15,885",64.29
,หนองนาคา,"3,888",42.7,"5,217",57.3,"3,375",39.31,"5,210",60.69
,หนองเรือ,"15,743",41.12,"22,540",58.88,"13,393",37.61,"22,215",62.39
,หนองสองหอง,"11,456",39.53,"17,528",60.47,"9,956",36.42,"17,382",63.58
,อบลรัตน,"7,761",41.67,"10,863",58.33,"6,536",37.94,"10,689",62.06
,นอกเขตจงหวดั ขอนแกน,"2,044",54.9,"1,679",45.1,"1,834",49.35,"1,882",50.65
ขอนแก่น ผลรวม,"333,807",44.91,"409,453",55.09,"291,657",41.74,"407,011",58.26,
จนทบรี,แกงหางแมว,"12,011",73.29,"4,377",26.71,"10,789",69.38,"4,762",30.62
,ขลุง,"21,105",81.69,"4,730",18.31,"19,430",78.45,"5,336",21.55
,เขาคิชฌกฏ,"9,652",74.67,"3,275",25.33,"8,862",72,"3,446",28
,ทาใหม,"24,560",75.93,"7,786",24.07,"22,466",72.63,"8,465",27.37
,นายายอาม,"11,926",78.83,"3,203",21.17,"10,745",75.29,"3,527",24.71
,โปงนาร้อน,"11,614",62.21,"7,054",37.79,"10,284",58,"7,446",42
,มะขาม,"12,349",75.65,"3,974",24.35,"11,403",73.27,"4,161",26.73
,เมองจนทบรี,"42,521",75.71,"13,640",24.29,"39,568",72.55,"14,970",27.45
,สอยดาว,"16,244",65.71,"8,478",34.29,"14,622",62.09,"8,927",37.91
,แหลมสิงห,"12,521",83.74,"2,431",16.26,"11,622",80.64,"2,791",19.36
,นอกเขตจงหวดั จนทบรี,"1,526",73.97,537,26.03,"1,380",67.61,661,32.39
