province,district,one_aye,one_aye100,one_nay,one_nay100,two_aye,two_aye100,two_nay,two_nay100
ตาก,พบพระ,14712,70.76,6078,29.24,12729,67.11,6238,32.89
ตาก,เมืองตาก,37762,76.94,11320,23.06,34255,73.42,12404,26.58
ตาก,แม่ระมาด,15529,70.59,6470,29.41,13329,66.96,6576,33.04
ตาก,แม่สอด,38257,75.37,12499,24.63,34363,72.18,13246,27.82
ตาก,วังเจ้า,9094,74.19,3164,25.81,7984,70.1,3406,29.9
ตาก,สามเงา,9776,74.21,3398,25.79,8757,71.26,3532,28.74
ตาก,อุ้มผาง,6716,65.98,3463,34.02,5763,62.56,3449,37.44
ตาก,นอกเขต,1787,76.04,563,23.96,1604,69.56,702,30.44
นครนายก,บ้านนา,20621,71.0,8422,29.0,18488,67.7,8822,32.3
นครนายก,ปากพลี,7515,69.7,3267,30.3,6723,66.47,3391,33.53
นครนายก,เมืองนครนายก,31610,73.43,11436,26.57,28687,70.39,12070,29.61
นครนายก,องครักษ์,16328,65.8,8488,34.2,14503,62.49,8704,37.51
นครนายก,นอกเขต,492,68.52,226,31.48,434,60.45,284,39.55
นครปฐม,กำแพงแสน,35419,62.37,21365,37.63,31977,59.14,22092,40.86
นครปฐม,ดอนตูม,14769,66.24,7527,33.76,13367,63.5,7682,36.5
นครปฐม,นครชัยศรี,35811,70.39,15062,29.61,32755,67.24,15955,32.76
นครปฐม,บางเลน,22068,54.74,18248,45.26,19806,51.5,18654,48.5
นครปฐม,พุทธมณฑล,10889,65.63,5703,34.37,9934,61.66,6178,38.34
นครปฐม,เมืองนครปฐม,91729,75.33,30048,24.67,84554,72.23,32506,27.77
นครปฐม,สามพราน,59127,70.14,25167,29.86,54600,66.67,27302,33.33
นครปฐม,นอกเขต,1582,63.79,898,36.21,1407,57.48,1041,42.52
นครพนม,ท่าอุเทน,10923,46.7,12465,53.3,9076,42.06,12504,57.94
นครพนม,ธาตุพนม,15452,46.31,17916,53.69,13347,42.22,18265,57.78
นครพนม,นาแก,15637,46.98,17645,53.02,13016,41.22,18563,58.78
นครพนม,นาทม,4132,45.18,5014,54.82,3352,39.9,5048,60.1
นครพนม,นาหว้า,12509,58.61,8832,41.39,9664,48.45,10282,51.55
นครพนม,บ้านแพง,6786,47.38,7537,52.62,5717,42.44,7753,57.56
นครพนม,ปลาปาก,9620,44.9,11807,55.1,7819,39.15,12152,60.85
นครพนม,โพนสวรรค์,13751,54.28,11581,45.72,10137,47.91,11023,52.09
นครพนม,เมืองนครพนม,25940,44.89,31843,55.11,22216,41.31,31565,58.69
นครพนม,เรณูนคร,7095,36.08,12569,63.92,5991,32.46,12468,67.54
นครพนม,วังยาง,3166,48.39,3377,51.61,2616,44.39,3277,55.61
นครพนม,ศรีสงคราม,13901,48.16,14963,51.84,11464,42.21,15695,57.79
นครพนม,นอกเขต,585,67.55,281,32.45,505,58.79,354,41.21
นครราชสีมา,แก้งสนามนาง,7410,50.92,7141,49.08,6242,47.3,6955,52.7
นครราชสีมา,คง,18371,57.97,13322,42.03,16329,54.79,13474,45.21
นครราชสีมา,เฉลิมพระเกียรติ,13027,69.29,5774,30.71,11667,65.93,6029,34.07
นครราชสีมา,โชคชัย,29651,72.14,11453,27.86,26228,68.55,12033,31.45
นครราชสีมา,ด่านขุนทด,35560,62.21,21600,37.79,30739,58.02,22237,41.98
นครราชสีมา,โนนแดง,5425,55.06,4427,44.94,4721,51.05,4526,48.95
นครราชสีมา,โนนไทย,24288,71.34,9758,28.66,21431,66.37,10859,33.63
นครราชสีมา,โนนสูง,38385,69.59,16776,30.41,33986,65.74,17712,34.26
นครราชสีมา,บัวลาย,4459,47.43,4943,52.57,3861,43.55,5005,56.45
นครราชสีมา,บัวใหญ่,17696,55.93,13942,44.07,15542,52.84,13869,47.16
นครราชสีมา,บ้านเหลื่อม,4243,50.72,4123,49.28,3578,46.23,4161,53.77
นครราชสีมา,ประทาย,15769,51.39,14913,48.61,13785,47.95,14961,52.05
นครราชสีมา,ปักธงชัย,36070,65.73,18805,34.27,31904,62.22,19374,37.78
นครราชสีมา,ปากช่อง,50172,65.14,26852,34.86,45444,62.01,27837,37.99
นครราชสีมา,พระทองคำ,11115,67.08,5455,32.92,9671,62.75,5741,37.25
นครราชสีมา,พิมาย,38213,66.97,18846,33.03,33884,63.21,19720,36.79
